mktrf,smb,hml,rf,date
0.036000,0.027300,-0.007500,0.00690,1983-01-31
0.025900,0.032700,0.007000,0.00620,1983-02-28
0.028200,0.017300,0.020200,0.00630,1983-03-31
0.066700,0.005000,0.004900,0.00710,1983-04-29
0.005200,0.062400,-0.014000,0.00690,1983-05-31
0.030700,0.009500,-0.039000,0.00670,1983-06-30
-0.040700,0.015000,0.056200,0.00740,1983-07-29
-0.005000,-0.042800,0.055400,0.00760,1983-08-31
0.009100,0.006100,0.010100,0.00760,1983-09-30
-0.034400,-0.035700,0.049700,0.00760,1983-10-31
0.021600,0.020100,-0.007200,0.00700,1983-11-30
-0.017800,-0.002700,0.017300,0.00730,1983-12-30
-0.019200,-0.003800,0.075800,0.00760,1984-01-31
-0.048200,-0.016900,0.033300,0.00710,1984-02-29
0.006300,0.000700,0.004600,0.00730,1984-03-30
-0.005100,-0.011600,0.012000,0.00810,1984-04-30
-0.059700,0.000600,0.003100,0.00780,1984-05-31
0.018200,-0.003000,-0.026600,0.00750,1984-06-29
-0.027400,-0.022100,0.003600,0.00820,1984-07-31
0.102800,-0.002400,-0.018200,0.00830,1984-08-31
-0.008000,0.001700,0.052800,0.00860,1984-09-28
-0.008400,-0.012300,0.004500,0.01000,1984-10-31
-0.017600,-0.006500,0.040600,0.00730,1984-11-30
0.018400,-0.005600,-0.002600,0.00640,1984-12-31
0.079900,0.033100,-0.053500,0.00650,1985-01-31
0.012200,0.007900,-0.001000,0.00580,1985-02-28
-0.008400,-0.010800,0.040700,0.00620,1985-03-29
-0.009600,0.001400,0.037200,0.00720,1985-04-30
0.050900,-0.022200,-0.009600,0.00660,1985-05-31
0.012700,0.005200,0.003800,0.00550,1985-06-28
-0.007400,0.028400,-0.016200,0.00620,1985-07-31
-0.010200,-0.003000,0.023200,0.00550,1985-08-30
-0.045400,-0.015900,0.012900,0.00600,1985-09-30
0.040200,-0.015100,0.007500,0.00650,1985-10-31
0.064800,0.002500,-0.028500,0.00610,1985-11-29
0.038800,-0.005100,-0.015400,0.00650,1985-12-31
0.006500,0.012100,0.004400,0.00560,1986-01-31
0.071300,-0.005400,-0.007200,0.00530,1986-02-28
0.048800,-0.005900,-0.003900,0.00600,1986-03-31
-0.013100,0.027800,-0.028700,0.00520,1986-04-30
0.046200,-0.013500,-0.002100,0.00490,1986-05-30
0.010300,-0.009600,0.012800,0.00520,1986-06-30
-0.064500,-0.033600,0.047000,0.00520,1986-07-31
0.060700,-0.041700,0.035100,0.00460,1986-08-29
-0.086000,0.023600,0.032200,0.00450,1986-09-30
0.046600,-0.025000,-0.014200,0.00460,1986-10-31
