gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,at,ni,sale,costat
001004,2023-05-31,2022,INDL,C,D,STD,AIR,AAR CORP,USD,1833.1000,90.2000,1990.6000,A
001045,2023-12-31,2023,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,63058.0000,822.0000,52788.0000,A
001075,2023-12-31,2023,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,24661.1530,501.5570,4695.9910,A
001076,2023-12-31,2023,INDL,C,D,STD,PRG,PROG HOLDINGS INC,USD,1491.2550,138.8380,2408.2640,A
001078,2023-12-31,2023,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,73214.0000,5723.0000,40109.0000,A
001161,2023-12-31,2023,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,67885.0000,854.0000,22680.0000,A
001209,2023-09-30,2023,INDL,C,D,STD,APD,AIR PRODUCTS & CHEMICALS INC,USD,32002.5000,2300.2000,12600.0000,A
001230,2023-12-31,2023,INDL,C,D,STD,ALK,ALASKA AIR GROUP INC,USD,14613.0000,235.0000,10426.0000,A
001234,2023-12-31,2023,INDL,C,D,STD,ATRI,ATRION CORP,USD,260.8250,19.4110,169.3260,A
001254,2023-12-31,2023,INDL,C,D,STD,MATX,MATSON INC,USD,4294.6000,297.1000,3094.6000,A
001257,2023-12-31,2023,INDL,C,D,STD,ALX,ALEXANDER'S INC,USD,1403.6800,102.4130,224.9620,A
001266,2023-09-30,2023,INDL,C,D,STD,ALCO,ALICO INC,USD,428.3530,1.8350,39.8460,A
001300,2023-12-31,2023,INDL,C,D,STD,HON,HONEYWELL INTERNATIONAL INC,USD,61525.0000,5658.0000,36662.0000,A
001327,2023-09-30,2023,INDL,C,D,STD,SWKS,SKYWORKS SOLUTIONS INC,USD,8426.7000,982.8000,4772.4000,A
001380,2023-12-31,2023,INDL,C,D,STD,HES,HESS CORP,USD,24007.0000,1382.0000,10511.0000,A
001393,2023-03-31,2022,INDL,C,D,STD,UHAL,U-HAUL HOLDING CO,USD,18124.6480,922.9980,5864.6910,A
001410,2023-10-31,2023,INDL,C,D,STD,ABM,ABM INDUSTRIES INC,USD,4933.7000,251.3000,8096.4000,A
001414,2023-12-31,2023,INDL,C,D,STD,PRI,PRIMERICA INC,USD,15027.7320,576.6010,2815.6790,A
001440,2023-12-31,2023,INDL,C,D,STD,AEP,AMERICAN ELECTRIC POWER CO,USD,96684.0000,2208.1000,18982.3000,A
001447,2023-12-31,2023,INDL,C,D,STD,AXP,AMERICAN EXPRESS CO,USD,261108.0000,8374.0000,67364.0000,A
001449,2023-12-31,2023,INDL,C,D,STD,AFL,AFLAC INC,USD,126724.0000,4659.0000,17729.0000,A
001487,2023-12-31,2023,INDL,C,D,STD,AIG,AMERICAN INTERNATIONAL GROUP,USD,539306.0000,3643.0000,46682.0000,A
001562,2023-04-30,2022,INDL,C,D,STD,AMSWA,AMERICAN SOFTWARE  -CL A,USD,195.6200,10.4210,123.6590,A
001585,2023-12-31,2023,INDL,C,D,STD,AVD,AMERICAN VANGUARD CORP,USD,767.5480,7.5190,579.3710,A
001598,2023-12-31,2023,INDL,C,D,STD,AME,AMETEK INC,USD,15023.5330,1313.1880,6596.9500,A
001602,2023-12-31,2023,INDL,C,D,STD,AMGN,AMGEN INC,USD,97154.0000,6717.0000,28190.0000,A
001632,2023-10-31,2023,INDL,C,D,STD,ADI,ANALOG DEVICES INC,USD,48794.4780,3314.5790,12305.5390,A
001659,2023-12-31,2023,INDL,C,D,STD,ANDE,ANDERSONS INC,USD,3855.0070,101.1900,14750.1120,A
001661,2023-12-31,2023,INDL,C,D,STD,NBR,NABORS INDUSTRIES LTD,USD,5277.9650,-11.7840,3005.9810,A
001678,2023-12-31,2023,INDL,C,D,STD,APA,APA CORP,USD,15244.0000,2855.0000,8378.0000,A
001686,2023-02-28,2022,INDL,C,D,STD,APOG,APOGEE ENTERPRISES INC,USD,915.3650,104.1070,1440.6960,A
001690,2023-09-30,2023,INDL,C,D,STD,AAPL,APPLE INC,USD,352583.0000,96995.0000,383285.0000,A
001704,2023-10-31,2023,INDL,C,D,STD,AMAT,APPLIED MATERIALS INC,USD,30729.0000,6856.0000,26517.0000,A
001706,2023-08-31,2023,INDL,C,D,STD,EPAC,ENERPAC TOOL GROUP CORP,USD,762.5970,46.5610,598.2040,A
001722,2023-12-31,2023,INDL,C,D,STD,ADM,ARCHER-DANIELS-MIDLAND CO,USD,54631.0000,3483.0000,93935.0000,A
001743,2023-12-31,2023,INDL,C,D,STD,ARCB,ARCBEST CORP,USD,2485.0940,195.4330,4427.4430,A
001773,2023-12-31,2023,INDL,C,D,STD,ARW,ARROW ELECTRONICS INC,USD,21726.1680,903.5050,33107.1200,A
001794,2023-09-30,2023,INDL,C,D,STD,ASH,ASHLAND INC,USD,5939.0000,178.0000,2191.0000,A
001823,2023-12-31,2023,INDL,C,D,STD,ATRO,ASTRONICS CORP,USD,633.7920,-26.4210,689.2060,A
001864,2023-01-31,2022,INDL,C,D,STD,REX,REX AMERICAN RESOURCES CORP,USD,579.5790,27.6970,855.0000,A
001878,2023-01-31,2022,INDL,C,D,STD,ADSK,AUTODESK INC,USD,9438.0000,823.0000,5005.0000,A
001891,2023-06-30,2023,INDL,C,D,STD,ADP,AUTOMATIC DATA PROCESSING,USD,50971.0000,3412.0000,18012.2000,A
001913,2023-12-31,2023,INDL,C,D,STD,AVY,AVERY DENNISON CORP,USD,8209.8000,503.0000,8364.3000,A
001919,2023-06-30,2023,INDL,C,D,STD,AVT,AVNET INC,USD,12477.1590,770.8280,26536.8810,A
001926,2023-02-28,2022,INDL,C,D,STD,AZZ,AZZ INC,USD,2221.4790,-52.9740,1323.6490,A
001949,2023-12-31,2023,INDL,C,D,STD,BRT,BRT APARTMENTS CORP,USD,709.9630,3.8730,110.6540,A
001968,2023-12-31,2023,INDL,C,D,STD,BMI,BADGER METER INC,USD,716.9190,92.5980,703.5920,A
001979,2023-12-31,2023,INDL,C,D,STD,BCPC,BALCHEM CORP  -CL B,USD,1597.2110,108.5430,922.4390,A
002002,2023-12-31,2023,INDL,C,D,STD,BPOP,POPULAR INC,USD,70758.1550,541.3420,3896.0310,A
002005,2023-12-31,2023,INDL,C,D,STD,BOH,BANK OF HAWAII CORP,USD,23733.2960,171.2020,972.2840,A
002019,2023-12-31,2023,INDL,C,D,STD,BK,BANK OF NEW YORK MELLON CORP,USD,409953.0000,3286.0000,33805.0000,A
002049,2023-12-31,2023,INDL,C,D,STD,B,BARNES GROUP INC,USD,3308.0140,15.9960,1450.8710,A
002086,2023-12-31,2023,INDL,C,D,STD,BAX,BAXTER INTERNATIONAL INC,USD,28276.0000,2656.0000,14813.0000,A
002101,2023-06-30,2023,INDL,C,D,STD,AIT,APPLIED INDUSTRIAL TECH INC,USD,2743.3320,346.7390,4412.7940,A
002111,2023-09-30,2023,INDL,C,D,STD,BDX,BECTON DICKINSON & CO,USD,52780.0000,1484.0000,19372.0000,A
002124,2023-12-31,2023,INDL,C,D,STD,BELFB,BEL FUSE INC,USD,571.6310,73.8310,639.8130,A
002136,2023-12-31,2023,INDL,C,D,STD,VZ,VERIZON COMMUNICATIONS INC,USD,380255.0000,11614.0000,133974.0000,A
002184,2023-01-31,2022,INDL,C,D,STD,BBY,BEST BUY CO INC,USD,15803.0000,1419.0000,46298.0000,A
002220,2023-12-31,2023,INDL,C,D,STD,BIO,BIO-RAD LABORATORIES INC,USD,12299.0700,-637.3240,2671.2620,A
002259,2023-12-31,2023,INDL,C,D,STD,BKH,BLACK HILLS CORP,USD,9620.4000,262.2000,2331.3000,A
002269,2023-06-30,2023,INDL,C,D,STD,HRB,BLOCK H & R INC,USD,3072.2580,553.7000,3472.1850,A
002285,2023-12-31,2023,INDL,C,D,STD,BA,BOEING CO,USD,137012.0000,-2222.0000,77794.0000,A
002312,2023-12-31,2023,INDL,C,D,STD,RHI,ROBERT HALF INC,USD,3010.7890,411.1460,6392.5170,A
002352,2023-07-31,2023,INDL,C,D,STD,BRC,BRADY CORP,USD,1389.2570,174.8570,1331.8630,A
002403,2023-12-31,2023,INDL,C,D,STD,BMY,BRISTOL-MYERS SQUIBB CO,USD,95159.0000,8025.0000,45006.0000,A
002436,2023-01-31,2022,INDL,C,D,STD,CAL,CALERES INC,USD,1836.4720,181.7420,2968.1380,A
002444,2023-12-31,2023,INDL,C,D,STD,BC,BRUNSWICK CORP,USD,6230.5000,420.4000,6401.4000,A
002448,2023-12-31,2023,INDL,C,D,STD,MTRN,MATERION CORP,USD,1762.7260,95.7020,1665.1870,A
002497,2023-12-31,2023,INDL,C,D,STD,MTZ,MASTEC INC,USD,9373.5110,-49.9490,11995.9340,A
002504,2023-12-31,2023,INDL,C,D,STD,UIS,UNISYS CORP,USD,1965.4000,-430.7000,2015.4000,A
002536,2023-03-31,2022,INDL,C,D,STD,RAMP,LIVERAMP HOLDINGS INC,USD,1172.7030,-118.7020,596.5830,A
002547,2023-12-31,2023,INDL,C,D,STD,CI,CIGNA GROUP (THE),USD,152761.0000,5164.0000,195244.0000,A
002558,2023-12-31,2023,INDL,C,D,STD,CNA,CNA FINANCIAL CORP,USD,64711.0000,1205.0000,13125.0000,A
002574,2023-12-31,2023,INDL,C,D,STD,CSX,CSX CORP,USD,42408.0000,3715.0000,14657.0000,A
002577,2023-12-31,2023,INDL,C,D,STD,CTS,CTS CORP,USD,741.1670,60.5320,550.4220,A
002578,2023-12-31,2023,INDL,C,D,STD,TLS,TELOS CORP/MD,USD,208.6990,-34.4220,145.3780,A
002593,2023-09-30,2023,INDL,C,D,STD,CBT,CABOT CORP,USD,3604.0000,445.0000,3931.0000,A
002596,2023-06-30,2023,INDL,C,D,STD,CACI,CACI INTL INC  -CL A,USD,6600.8080,384.7350,6702.5460,A
002615,2023-02-28,2022,INDL,C,D,STD,CAMP,CALAMP CORP,USD,380.1200,-32.4900,294.9490,A
002628,2023-12-31,2023,INDL,C,D,STD,CWT,CALIFORNIA WATER SERVICE GP,USD,4595.5330,51.9110,794.6320,A
002663,2023-07-31,2023,INDL,C,D,STD,CPB,CAMPBELL SOUP CO,USD,12058.0000,858.0000,9357.0000,A
002710,2023-02-28,2022,INDL,C,D,STD,STZ,CONSTELLATION BRANDS,USD,24662.3000,-71.0000,9452.6000,A
002751,2023-06-30,2023,INDL,C,D,STD,CAH,CARDINAL HEALTH INC,USD,43417.0000,261.0000,205012.0000,A
002771,2023-12-31,2023,INDL,C,D,STD,CSL,CARLISLE COS INC,USD,6620.0000,767.4000,4586.9000,A
002787,2023-06-30,2023,INDL,C,D,STD,CRS,CARPENTER TECHNOLOGY CORP,USD,3053.9000,56.4000,2550.3000,A
002807,2023-04-30,2022,INDL,C,D,STD,CASY,CASEYS GENERAL STORES INC,USD,5943.2700,446.6910,15094.4750,A
002817,2023-12-31,2023,INDL,C,D,STD,CAT,CATERPILLAR INC,USD,87476.0000,10335.0000,67060.0000,A
002818,2023-01-31,2022,INDL,C,D,STD,CATO,CATO CORP  -CL A,USD,553.1400,0.0290,759.2600,A
002820,2023-03-31,2022,INDL,C,D,STD,CVCO,CAVCO INDUSTRIES INC,USD,1307.9750,240.5540,2142.7130,A
002884,2023-12-31,2023,INDL,C,D,STD,LUMN,LUMEN TECHNOLOGIES INC,USD,34018.0000,-10298.0000,14557.0000,A
002960,2023-12-31,2023,INDL,C,D,STD,CHE,CHEMED CORP,USD,1668.0950,272.5090,2264.4170,A
002968,2023-12-31,2023,INDL,C,D,STD,JPM,JPMORGAN CHASE & CO,USD,3875393.0000,49552.0000,236311.0000,A
002986,2023-12-31,2023,INDL,C,D,STD,CPK,CHESAPEAKE UTILITIES CORP,USD,3304.7040,87.2120,670.6040,A
002991,2023-12-31,2023,INDL,C,D,STD,CVX,CHEVRON CORP,USD,261632.0000,21369.0000,196913.0000,A
003007,2023-06-30,2023,INDL,C,D,STD,EAT,BRINKER INTL INC,USD,2487.0000,102.6000,4133.2000,A
003026,2023-12-31,2023,INDL,C,D,STD,CHD,CHURCH & DWIGHT INC,USD,8569.2000,755.6000,5867.9000,A
